Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-01-19 03:22:12,TNT/BTC,BUY,0.00001648,217,0.00357616,0.217,TNT
2018-01-19 01:45:08,ENJ/BTC,BUY,0.00002145,100,0.002145,0.1,ENJ
2018-01-19 01:39:19,FUN/BTC,BUY,0.0000105,200,0.0021,0.2,FUN
2018-01-18 22:18:15,BAT/BTC,BUY,0.00005254,146,0.00767084,0.146,BAT
2018-01-18 00:23:35,VEN/BTC,BUY,0.00042984,15,0.0064476,0.015,VEN
2018-01-18 00:22:58,LINK/BTC,BUY,0.00006432,50,0.003216,0.05,LINK
2018-01-18 00:21:09,XRP/BTC,BUY,0.00011684,150,0.017526,0.15,XRP
2018-01-18 00:20:55,SNM/BTC,BUY,0.00003184,100,0.003184,0.1,SNM
2018-01-18 00:19:57,LEND/BTC,BUY,0.00001558,231,0.00359898,0.231,LEND
2018-01-18 00:19:57,LEND/BTC,BUY,0.00001558,269,0.00419102,0.269,LEND
2018-01-18 00:19:37,CND/BTC,BUY,0.00000697,500,0.003485,0.5,CND
2018-01-18 00:19:02,ADA/BTC,BUY,0.0000565,250,0.014125,0.25,ADA
